# previous\tword\tcount
hello	world	180
thank	you	240
i	am	420
i	can	220
i	feel	210
i	like	300
i	love	180
i	need	360
i	think	240
i	want	500
want	to	520
need	help	320
need	to	280
like	this	180
love	you	260
feel	good	210
feel	bad	120
feel	happy	100
feel	sad	80
feel	tired	90
am	happy	170
am	hungry	130
am	sad	100
am	tired	140
to	eat	260
to	drink	150
to	go	250
to	work	200
eat	food	180
eat	apple	130
drink	water	210
go	home	270
go	to	220
open	browser	160
close	browser	90
search	for	200
listen	to	120
this	is	330
that	is	290
where	is	190
what	is	240
how	are	220
are	you	300
see	you	260
with	you	220
for	you	200
my	friend	170
my	home	120
my	name	260
good	day	160
not	good	130
yes	i	140
no	i	120
